,Name,Price,Location,Mileage
149,2004 Dodge dakota,"C$1,234","Surrey, BC",214K km
196,2002 Toyota tundra,"C$10,900","New Westminster, BC",284K km
47,2014 Nissan versa,"C$10,900","Port Coquitlam, BC",99K km
127,"2022 Ford mustang mach-e gt awd*480 horsepower*top of the line - $102,530 ($0 down financing. all trades welcome! call jag today)","C$102,530","Port Coquitlam, BC",145K km
185,2012 Dodge grand caravan,"C$11,000","Richmond, BC",181K km
64,2000 Ford mustang gt,"C$11,800","Vancouver, BC",48K km
204,2022 Ford bronco sport badlands,"C$11,900","Vancouver, BC",300 km
152,2018 Jaguar f-pace,"C$11,900","Richmond, BC",88K km
197,2019 Volkswagen atlas,"C$12,000","Burnaby, BC",29K km
75,2010 Ford flex,"C$12,900","Port Coquitlam, BC",64K km
92,2013 Ford focus,"C$12,900",,74K km
63,2014 Kia sedona,"C$12,999","Surrey, BC",
56,2015 Chevrolet cruze,"C$12,999","Richmond, BC",27K km
85,2019 Chevrolet corvette coupe z06 1lz mt,"C$122,999","Port Coquitlam, BC",269K km
177,2016 BMW 328i xdrive,"C$129,900","Surrey, BC",88K km
24,2008 Toyota yaris,"C$13,590","Surrey, BC",128K km
207,2016 Jeep wrangler,"C$13,845","Surrey, BC",89K km
202,2018 GMC yukon,"C$13,900","Surrey, BC",73K km
199,2008 Nissan xterra,"C$13,900",,285K km
107,2014 Hyundai tucson,"C$13,900","Surrey, BC",129K km
166,2016 Ford focus,"C$13,980","Vancouver, BC",49K km
114,2014 GMC acadia,"C$14,900","Port Coquitlam, BC",
86,2010 Ford econoline,"C$14,900","Burnaby, BC",
135,2012 Honda odyssey,"C$14,999","Burnaby, BC",106K km
80,"2011 Honda accord sedan i-4 se, local, one owner , low mileages, showroom condition","C$15,495","Richmond, BC",62K km
37,2006 Toyota hiace,"C$15,900","Surrey, BC",27K km
78,"2013 Nissan Maxima SV (113,090 kms)","C$15,900","Richmond, BC",45K km
66,2017 Mercedes-Benz g-class,"C$158,995","Port Coquitlam, BC",236K km
13,2018 Mercedes-Benz gt c roadster,"C$159,999","Vancouver, BC",
188,2018 Mazda cx-5,"C$16,000","Richmond, BC",54K km
110,2017 Nissan sentra,"C$16,499",,38K km
