,Name,Price,Location,Mileage
0,2004 Toyota matrix,"C$3,400","Surrey, BC",288K km
1,2001 Honda prelude,"C$1,000","Surrey, BC",315K km
2,2000 Volvo s70,"C$2,500","Vancouver, BC",110K km
3,2007 Chevrolet cobalt,"C$3,700","Vancouver, BC",230K km
4,2006 Volkswagen jetta,"C$3,555","Vancouver, BC",281K km
5,2007 Toyota yaris,"C$4,500","Surrey, BC",186K km
6,2003 Nissan altima,"C$1,255","Vancouver, BC",325K km
7,2007 Chevrolet aveo,"C$3,311","Surrey, BC",190K km
8,2000 Volkswagen golf,"C$1,999","Delta, BC",327K km
9,2008 Honda civic,"C$4,888","Vancouver, BC",304K km
10,2001 BMW series 5,"C$12,000","West Vancouver, BC",117K km
11,2001 Hyundai tburn,"C$1,300","Port Coquitlam, BC",301K km
12,2007 Nissan versa,"C$4,999","Vancouver, BC",213K km
13,2021 Ferrari roma,"C$359,900","North Vancouver, BC",5.5K km
14,2006 Porsche cayman,"C$39,888","Vancouver, BC",89K km
15,2003 Honda cr-v,"C$5,999","Surrey, BC",186K km
16,2004 BMW x5,"C$3,500","Surrey, BC",220K km
17,2010 Kia soul,"C$7,900","Burnaby, BC",149K km
18,2001 Honda accord 4cylinder save money gas,"C$1,500","Vancouver, BC",
19,2000 Ford focus,"C$2,400",,215K km
20,2003 Honda cr-v,"C$2,499","Surrey, BC",180K km
21,2013 Volkswagen jetta,"C$2,999","Burnaby, BC",282K km
22,2010 Dodge journey r/t,"C$7,600","Burnaby, BC",176K km
23,2014 Chrysler 200 limited,"C$6,999","Surrey, BC",148K km
24,2008 BMW 335xi,"C$5,999","Vancouver, BC",200K km
25,2010 Chevrolet equinox,"C$13,000","Delta, BC",198K km
26,2010 Honda insight,"C$3,000","Surrey, BC",250K km
27,2003 BMW series 3,"C$8,900","Surrey, BC",202K km
28,2013 Bentley continental gt convertible,"C$8,999","Vancouver, BC",229K km
29,2015 Nissan altima,"C$149,888","Burnaby, BC",
30,2014 Scion iq,"C$12,000","Delta, BC",164K km
31,2021 Ford mustang premium ecoboost,"C$10,998",,104K km
32,2012 BMW x6,C$263,"Surrey, BC",22K km
